caption;link;year;km;color;price;price_unit;date;city;district
40;Öğretmenden temiz, kazasız, full paket;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ogretmenden-temiz-kazasiz-full-paket-874591671/detay;2011;148000;Gümüş Gri;140000;TL;2020-10-28;İzmir;Kemalpaşa
41;2016 HYUDAİ ELANTRA SUNROOF OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2016-hyudai-elantra-sunroof-otomatik-874593156/detay;2016;110000;Beyaz;198000;TL;2020-10-28;Ağrı;Merkez
42;Sahibinden uygun fiyata;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-uygun-fiyata-874586533/detay;2015;118000;Kırmızı;179000;TL;2020-10-28;İzmir;Buca
43;HATASIZ BOYASİZ 2018 ÇIKIŞLI 55 km sıfır gibi;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hatasiz-boyasiz-2018-cikisli-55-km-sifir-gibi-874579543/detay;2017;55000;Beyaz;161000;TL;2020-10-28;Siirt;Merkez
44;BİNİCİSİNDEN TEMİZ 2004 ELENTRA TAKAS OLUR;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-binicisinden-temiz-2004-elentra-takas-olur-874574825/detay;2006;175000;Yeşil;84000;TL;2020-10-28;İstanbul;Sancaktepe
45;AUTOGOLD'DAN 2012 MODEL DEĞİŞENSİZ ELANTRA BENZİN-LPG MANUEL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-autogold-dan-2012-model-degisensiz-elantra-benzin-lpg-manuel-874571860/detay;2012;175000;Gri;119500;TL;2020-10-28;Sakarya;Karasu
46;EZEL OTO'DAN HYUNDAI ELANTRA HATASIZ BOYASIZ OTOMATİK 3.000 KM;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ezel-oto-dan-hyundai-elantra-hatasiz-boyasiz-otomatik-3.000-km-866260337/detay;2019;3800;Beyaz;251900;TL;2020-10-28;Konya;Karatay
47;HATASIZ-2016 ELENTRA 1.6 DİZEL ELITE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hatasiz-2016-elentra-1.6-dizel-elite-874573237/detay;2016;66000;Gümüş Gri;192500;TL;2020-10-28;Niğde;Merkez
48;TÜRK OTOMOTİV 2012 HYUNDAİ ELANTRA MODE PLUS 1.6 BENZİN/LPG;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-turk-otomotiv-2012-hyundai-elantra-mode-plus-1.6-benzin-lpg-874569626/detay;2012;147000;Siyah;119750;TL;2020-10-28;Kocaeli;Körfez
49;Sahibinden ÇOK ÖZEL donanimli ELANTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-cok-ozel-donanimli-elantra-874397979/detay;2016;42000;Beyaz;185000;TL;2020-10-28;Bursa;Yıldırım
50;KAMERDEN 2018 MODEL HYUNDAİ ELANTRA 1.6 D-CVVT STYLE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-kamerden-2018-model-hyundai-elantra-1.6-d-cvvt-style-874559679/detay;2018;19300;Beyaz;178000;TL;2020-10-28;Samsun;Tekkeköy
51;MAHİR OTOMOTİVDEN;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-mahir-otomotivden-874558244/detay;2014;248000;Gri;136500;TL;2020-10-28;Kahramanmaraş;Afşin
52;2012 MODEL HATASİZ BOYASİZ ELANTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2012-model-hatasiz-boyasiz-elantra-865933652/detay;2012;189000;Gümüş Gri;135000;TL;2020-10-28;Amasya;Taşova
53;2018 ÇİKİŞLİ ELİTE PLUS SUNROOF HATASIZ BOYASIZ TRAMERSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2018-cikisli-elite-plus-sunroof-hatasiz-boyasiz-tramersiz-874550215/detay;2017;84000;Beyaz;234500;TL;2020-10-28;İstanbul;Bağcılar
54;HOŞEL OTOMOTİV,DEN YENİ KASA 2020 MODEL HYUNDAİ ELENTRA 1.6 STYL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hosel-otomotiv%2Cden-yeni-kasa-2020-model-hyundai-elentra-1.6-styl-874549376/detay;2020;16000;Beyaz;205000;TL;2020-10-28;İstanbul;Maltepe
55;2019 17 BİN'DE HATASIZ..!;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2019-17-bin-de-hatasiz-874543361/detay;2019;17000;Mavi;184500;TL;2020-10-28;Isparta;Merkez
56;HATASIZ-BOYA­SIZ-ORJİNAL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hatasiz-boyasiz-orjinal-844328013/detay;2016;98500;Gümüş Gri;202000;TL;2020-10-28;Sakarya;Adapazarı
57;HYUNDAİ ELANTRA 1.6 GLS LPG Lİ SATIŞA HAZIR;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-elantra-1.6-gls-lpg-li-satisa-hazir-874545620/detay;1994;190000;Bordo;29000;TL;2020-10-28;Tekirdağ;Süleymanpaşa
58;satılık otomobil 6 fites km146 binde;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-satilik-otomobil-6-fites-km146-binde-874533596/detay;2011;146000;Gümüş Gri;130000;TL;2020-10-28;Ankara;Keçiören
59;2019 HATASIZ -- BOYASIZ -- TRAMERSİZ LPG'Lİ HYUNDAİ ELENTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2019-hatasiz-boyasiz-tramersiz-lpg-li-hyundai-elentra-874517010/detay;2019;6500;Gümüş Gri;187500;TL;2020-10-28;Ankara;Çankaya
60;HATASIZ BOYASIZ OTOMATİK LPGli;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hatasiz-boyasiz-otomatik-lpgli-874521884/detay;2017;65000;Beyaz;187900;TL;2020-10-28;Kırıkkale;Merkez
61;HATASIZ BOYASIZ 18.000 KM EKSTRALI;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hatasiz-boyasiz-18.000-km-ekstrali-874433384/detay;2018;18000;Beyaz;179500;TL;2020-10-28;Kırıkkale;Merkez
62;sahibinden;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-874496791/detay;2018;47000;Beyaz;205000;TL;2020-10-28;Ankara;Mamak
63;-PİŞKİN OTOMOTİV-2019 ELENTRA ELİTE+SUNROOF+LPG 16.000KM BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-piskin-otomotiv-2019-elentra-elite-plussunroof-pluslpg-16.000km-boyasiz-874492340/detay;2019;16900;Beyaz;235000;TL;2020-10-28;Mersin;Yenişehir
64;Dosta Gider Temiz ELENTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-dosta-gider-temiz-elentra-874302638/detay;2005;181000;Beyaz;81000;TL;2020-10-28;Ankara;Keçiören
65;Doğan Grup Autodan 2017 Model Hyundai Elentra Hatasız Boyasız;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-dogan-grup-autodan-2017-model-hyundai-elentra-hatasiz-boyasiz-874480503/detay;2017;63000;Beyaz;172500;TL;2020-10-28;İstanbul;Esenyurt
66;MAKAM ARABAMI SATIYORUM;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-makam-arabami-satiyorum-874446851/detay;2005;288888;Gri;66800;TL;2020-10-28;Ankara;Keçiören
67;teknik öğretmenden garantili.;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-teknik-ogretmenden-garantili-874416681/detay;2017;36000;Gri;173900;TL;2020-10-28;Ankara;Etimesgut
68;YETKİLİ SERVİS BAKIMLI HATASIZ BOYASIZ DİZEL OTOMATİK ELENTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-yetkili-servis-bakimli-hatasiz-boyasiz-dizel-otomatik-elentra-873897819/detay;2015;78800;Gri;182000;TL;2020-10-28;Samsun;Alaçam
69;#TEMİZ ELENTRA#;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-temiz-elentra-874347252/detay;2012;207599;Siyah;125000;TL;2020-10-28;Van;Tuşba
70;Sahibinden temiz;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-temiz-861563090/detay;2015;113000;Beyaz;182000;TL;2020-10-28;Ankara;Keçiören
71;düşük km sorunsuz....;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-dusuk-km-sorunsuz-874853542/detay;2006;95000;Beyaz;107000;TL;2020-10-29;Ankara;Çankaya
72;2017 Hyundai Elantra;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2017-hyundai-elantra-874833442/detay;2017;46000;Siyah;167500;TL;2020-10-29;İstanbul;Kadıköy
73;İLK SAHİBİNDEN TEMİZ AİLE ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ilk-sahibinden-temiz-aile-araci-874399062/detay;2012;110000;Beyaz;160000;TL;2020-10-27;Van;Tuşba
74;askeri personelden orjinal km'de 2013 model elentra;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-askeri-personelden-orjinal-km-de-2013-model-elentra-874831109/detay;2013;149000;Beyaz;115750;TL;2020-10-29;Mersin;Akdeniz
75;2017 HATASIZ OTOMATİK LPGLİ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2017-hatasiz-otomatik-lpgli-874821039/detay;2017;76000;Beyaz;192000;TL;2020-10-29;Samsun;Diğer
76;Sıfır hata Hyundai Elantra;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sifir-hata-hyundai-elantra-874389768/detay;2016;65000;Beyaz;215000;TL;2020-10-27;Balıkesir;Altıeylül
77;KASIM 2019 TRAFIĞE ÇIKIŞLI ELANTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-kasim-2019-trafige-cikisli-elantra-874827271/detay;2019;7700;Beyaz;229000;TL;2020-10-29;Yalova;Merkez
78;Sahibinden temiz aile aracı elantra yakıt cimrisi;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-temiz-aile-araci-elantra-yakit-cimrisi-874390896/detay;2013;168500;Beyaz;125000;TL;2020-10-27;İstanbul;Ataşehir
79;ORJUNAL HATASIZ BOYASİZ HASAR KAYITSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-orjunal-hatasiz-boyasiz-hasar-kayitsiz-862292960/detay;2004;248000;Gümüş Gri;77500;TL;2020-10-27;Kahramanmaraş;Onikişubat
80;SAHİBİNDEN 2014 DİZEL 1.6 CRDI OTOMATİK ELANTRA ELİTE (GLS);https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-2014-dizel-1.6-crdi-otomatik-elantra-elite-gls-874387586/detay;2014;117000;Kırmızı;166000;TL;2020-10-27;İstanbul;Kadıköy
81;TEMİZ SERVİS BAKIMLI ELENTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-temiz-servis-bakimli-elentra-864957631/detay;2016;53600;Beyaz;197000;TL;2020-10-29;Edirne;Merkez
82;ONR MOTORS'DAN HYUNDAİ ELENTRA 2004 MODEL 1.6 GLS MANUEL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-onr-motors-dan-hyundai-elentra-2004-model-1.6-gls-manuel-874814081/detay;2004;235000;Lacivert;46750;TL;2020-10-29;Kahramanmaraş;Onikişubat
83;Model değiştireceğim için satılık;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-model-degistirecegim-icin-satilik-874810044/detay;1996;255000;Yeşil;36700;TL;2020-10-29;Eskişehir;Tepebaşı
84;!!!FIRSAT ARAÇ!!!SIFIR HATASIZ BOYASIZTRAMERSİZ BAYİ EXTRALI;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-firsat-arac-sifir-hatasiz-boyasiztramersiz-bayi-extrali-867725661/detay;2020;990;Kırmızı;218900;TL;2020-10-29;Bursa;Nilüfer
85;2019 HYUNDAİ ELANTRA 1.6 BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2019-hyundai-elantra-1.6-boyasiz-874361647/detay;2019;9207;Beyaz;187000;TL;2020-10-27;İstanbul;Ataşehir
86;^^ 2012 MODEL 157.ooo KM 1.6 BENZİNLİ BAKIMLI ELENTRA ^^;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2012-model-157.ooo-km-1.6-benzinli-bakimli-elentra-874364852/detay;2012;157000;Gümüş Gri;130750;TL;2020-10-27;Sakarya;Pamukova
87;OTOMATİK DİESEL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-otomatik-diesel-874361184/detay;2014;155000;Beyaz;166500;TL;2020-10-27;Sakarya;Adapazarı
88;BAKIMLI ELANTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-bakimli-elantra-864544066/detay;2005;177000;Gri;77250;TL;2020-10-27;Kahramanmaraş;Türkoğlu
89;DÜŞÜK Kmtre Tertemiz dosta gider..;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-dusuk-kmtre-tertemiz-dosta-gider-874357842/detay;2005;108600;Gri;86000;TL;2020-10-27;Kocaeli;İzmit
90;DOSTA GİDECEK ARAÇ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-dosta-gidecek-arac-874358966/detay;2013;153000;Beyaz;138000;TL;2020-10-27;Ankara;Altındağ
91;ASKERİ PERSONELDEN HYUNDAİ ELANTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-askeri-personelden-hyundai-elantra-874356279/detay;2012;171000;Bordo;119000;TL;2020-10-27;Çorum;Merkez
92;WORLD CARS'TAN 2011 TERTEMİZ OTOMATİK HYUNDAİ ELANTRA KAÇMAZ..!;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-world-cars-tan-2011-tertemiz-otomatik-hyundai-elantra-kacmaz-874329118/detay;2011;81000;Gri;155000;TL;2020-10-27;Mersin;Mezitli
93;SAHİBİNDEN HATASIZ BOYASIZ 67.000KM;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-hatasiz-boyasiz-67.000km-874772810/detay;2017;67000;Beyaz;217000;TL;2020-10-29;Kahramanmaraş;Onikişubat
94;ilk sahibinden tertemiz. Sıfır kokusu üstünde;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ilk-sahibinden-tertemiz-sifir-kokusu-ustunde-852743725/detay;2017;10000;Beyaz;176250;TL;2020-10-29;Tekirdağ;Hayrabolu
95;ATA HYUNDAİ PLAZADAN 2013 MODEL ELANTRA 1.6 D-CVVT STYLE OTM;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ata-hyundai-plazadan-2013-model-elantra-1.6-d-cvvt-style-otm-874333840/detay;2013;44698;Beyaz;171750;TL;2020-10-27;Ankara;Çankaya
96;2020 model hatasız kazasız android double ekran geri görüş cam;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2020-model-hatasiz-kazasiz-android-double-ekran-geri-gorus-cam-865640773/detay;2020;7150;Beyaz;190000;TL;2020-10-27;Aydın;Efeler
97;HATASIZ OTOMATİK DİZEL SAHİBİNDEN DÜŞÜK KM.Lİ EN FUL PAKET;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hatasiz-otomatik-dizel-sahibinden-dusuk-km.li-en-ful-paket-874748646/detay;2014;74800;Beyaz;177000;TL;2020-10-29;Zonguldak;Ereğli
98;2016 1.6 CRDİ ELENTRA OTOMATİK 136 HP;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2016-1.6-crdi-elentra-otomatik-136-hp-866168273/detay;2016;68500;Kırmızı;213500;TL;2020-10-29;Trabzon;Ortahisar
99;2017 HYUNDAİ ELENTRA 1.6 CRDİ STYLE PLUS 76.000 BİNDE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2017-hyundai-elentra-1.6-crdi-style-plus-76.000-binde-865845067/detay;2017;76000;Beyaz;197750;TL;2020-10-27;İstanbul;Avcılar
100;SAHİBİNDEN HYUNDAİ ELANTRA 1.6 MPİ ELİT PAKET SIFIRDAN FARKSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-hyundai-elantra-1.6-mpi-elit-paket-sifirdan-farksiz-823327940/detay;2019;7775;Beyaz;235900;TL;2020-10-29;Konya;Seydişehir
101;FATİH OTOMOTİV'DEN BOYASIZ 2017 ELENTRA OTOMATİK 68000 KM'DE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-fatih-otomotiv-den-boyasiz-2017-elentra-otomatik-68000-km-de-874312731/detay;2017;68000;Beyaz;184000;TL;2020-10-27;Tokat;Merkez
102;Boya kaza yok hatasiz;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-boya-kaza-yok-hatasiz-873311074/detay;2018;78000;Gri;230000;TL;2020-10-29;Adana;Seyhan
103;İlk sahibinden 75 Bin Km de Tam Otomatik Servis Bakımlı Elentra;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ilk-sahibinden-75-bin-km-de-tam-otomatik-servis-bakimli-elentra-874296880/detay;2017;75000;Beyaz;190000;TL;2020-10-27;Mersin;Tarsus
104;ADA OTOMOTIV DEN 2016 DIZEL ELİTE 80.000 KM .ILK SAHIBINDE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ada-otomotiv-den-2016-dizel-elite-80.000-km-ilk-sahibinde-843844253/detay;2016;80000;Beyaz;175000;TL;2020-10-27;İstanbul;Ümraniye
105;2017.MODEL HUNDAİ ELANTRA 1.6 CRDİ STYLE PLUS DCT TEMİZ BAKILI;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2017.model-hundai-elantra-1.6-crdi-style-plus-dct-temiz-bakili-864439695/detay;2017;46000;Beyaz;182700;TL;2020-10-27;Antalya;Muratpaşa
