caption;link;year;km;color;price;price_unit;date;city;district
79;ÇİLBAŞ 2011 ILK ELDEN AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-cilbas-2011-ilk-elden-avensis-874157340/detay;2011;120000;Siyah;147500;TL;2020-10-26;Bolu;Merkez
80;2003 YENİ KASA TOYOTA AVANSİZ 2,0 ELEGANCE HASAR KAYITSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2003-yeni-kasa-toyota-avansiz-2%2C0-elegance-hasar-kayitsiz-874156177/detay;2003;290000;Kahverengi;64900;TL;2020-10-26;Ankara;Etimesgut
81;SAHİBİNDEN EN DOLU 2005 AVENSİS 1.6;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-en-dolu-2005-avensis-1.6-874141280/detay;2005;220000;Gümüş Gri;85000;TL;2020-10-26;Şanlıurfa;Karaköprü
82;EMEKLİ MEMURDAN AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-emekli-memurdan-avensis-874149857/detay;2013;113500;Bordo;135000;TL;2020-10-26;Çanakkale;Merkez
83;ELİT OTOMOTİVDEN 95BİNDE TERTEMİZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-elit-otomotivden-95binde-tertemiz-874151775/detay;2011;95000;Gümüş Gri;142500;TL;2020-10-26;Konya;Ereğli
84;2001 Model Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2001-model-avensis-874548596/detay;2001;179000;Şampanya;49000;TL;2020-10-28;Ankara;Etimesgut
85;Öğretmenden Değişen-Sök Tak yok 79.xxx km Temiz Toyota Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ogretmenden-degisen-sok-tak-yok-79.xxx-km-temiz-toyota-avensis-865477941/detay;2011;79000;Gümüş Gri;147500;TL;2020-10-28;İzmir;Karaburun
86;Toyota avansis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-avansis-874135449/detay;2006;208000;Siyah;102000;TL;2020-10-26;Tokat;Reşadiye
87;Temiz Aile Arabası;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-aile-arabasi-874554130/detay;2004;198000;Gümüş Gri;117500;TL;2020-10-28;Amasya;Merzifon
88;Sahibinden satılık;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-satilik-874541216/detay;2013;71263;Beyaz;190000;TL;2020-10-28;Aydın;Efeler
