caption;link;year;km;color;price;price_unit;date;city;district
40;LAGUNA 1 VOLVO MOTOR YENİ MOTOR - TAM BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-renault-laguna-1-volvo-motor-yeni-motor-tam-bakimli-874609774/detay;1998;334000;Gri;48000;TL;2020-10-28;Çankırı;Merkez
41;Yer uçaği 2000 motor;https://www.sahibinden.com/ilan/vasita-otomobil-renault-yer-ucagi-2000-motor-874611356/detay;2000;313000;Beyaz;70000;TL;2020-10-28;Şanlıurfa;Viranşehir
42;Orijinal 2002 Model Laguna Rxt;https://www.sahibinden.com/ilan/vasita-otomobil-renault-orijinal-2002-model-laguna-rxt-874622664/detay;2002;270000;Bej;58000;TL;2020-10-28;Burdur;Merkez
43;Full/ Sunroff/Deg­isensiz/Orj Km/ 1.5 boya;https://www.sahibinden.com/ilan/vasita-otomobil-renault-full-sunroff-degisensiz-orj-km-1.5-boya-874610808/detay;2005;193000;Gri;81500;TL;2020-10-28;Gaziantep;Şehitkamil
44;evlat satişta;https://www.sahibinden.com/ilan/vasita-otomobil-renault-evlat-satista-873971134/detay;1998;350000;Gri;35000;TL;2020-10-28;Bursa;Gürsu
45;SAHİBİNDEN ORJİNAL RENO;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-orjinal-reno-874583533/detay;1999;252000;Yeşil;51500;TL;2020-10-28;İstanbul;Güngören
46;1.6 16 valf Laguna 200bin km;https://www.sahibinden.com/ilan/vasita-otomobil-renault-1.6-16-valf-laguna-200bin-km-874598361/detay;2004;201000;Füme;58000;TL;2020-10-28;Tekirdağ;Muratlı
47;orjinal boyasiz iki parca onemsiz boya;https://www.sahibinden.com/ilan/vasita-otomobil-renault-orjinal-boyasiz-iki-parca-onemsiz-boya-874578000/detay;1996;34000;Siyah;30500;TL;2020-10-28;Kars;Merkez
48;Kaymakam Lagunasu;https://www.sahibinden.com/ilan/vasita-otomobil-renault-kaymakam-lagunasu-873527110/detay;2000;282000;Mavi;45000;TL;2020-10-28;Aydın;Buharkent
49;Renault Laguna KONUŞAN PAKET Aytekin Beye Hayırlı olsun;https://www.sahibinden.com/ilan/vasita-otomobil-renault-renault-laguna-konusan-paket-aytekin-beye-hayirli-olsun-874579866/detay;1996;299000;Turkuaz;33500;TL;2020-10-28;Konya;Selçuklu
50;2005 MODEL 1.6 LPG Lİ LAGUNA BOYASIZ HATASIZ MASRAFSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-2005-model-1.6-lpg-li-laguna-boyasiz-hatasiz-masrafsiz-874579481/detay;2005;206000;Bej;79750;TL;2020-10-28;Niğde;Merkez
51;TALHA'DAN 2005 RENAULT LAGUNA 1.6 LPG'Lİ DEĞİŞENSİZ EXPRESSİON;https://www.sahibinden.com/ilan/vasita-otomobil-renault-talha-dan-2005-renault-laguna-1.6-lpg-li-degisensiz-expression-874575372/detay;2005;244000;Şampanya;74000;TL;2020-10-28;Muğla;Fethiye
52;renault megane;https://www.sahibinden.com/ilan/vasita-otomobil-renault-renault-megane-874159872/detay;2000;250000;Gri;85500;TL;2020-10-28;Antalya;Aksu
53;laguna RXE FULL 2000 MODEL ORJ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-laguna-rxe-full-2000-model-orj-874562976/detay;2000;275000;Lacivert;39500;TL;2020-10-28;Adana;Seyhan
54;Sunroof 120 bin km içi dışı pırıl pırıl;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sunroof-120-bin-km-ici-disi-piril-piril-874455992/detay;2005;120000;Bej;77000;TL;2020-10-28;İstanbul;Bağcılar
55;Renault laguna konuşan paket;https://www.sahibinden.com/ilan/vasita-otomobil-renault-renault-laguna-konusan-paket-873531598/detay;1997;3e+05;Mor;32500;TL;2020-10-28;Kocaeli;Kandıra
56;TEMİZ BAKIMLI MASRAFSIZ KLİMALI DİZEL LAGUNA;https://www.sahibinden.com/ilan/vasita-otomobil-renault-temiz-bakimli-masrafsiz-klimali-dizel-laguna-874545643/detay;2001;61000;Lacivert;45000;TL;2020-10-28;İzmir;Menemen
57;Renault Laguna 2 Nadir Temizlikte;https://www.sahibinden.com/ilan/vasita-otomobil-renault-renault-laguna-2-nadir-temizlikte-874540120/detay;2004;172000;Füme;80000;TL;2020-10-28;Çanakkale;Merkez
58;ŞAFAK OTOMOTİVDEN CAM GİBİ RXT !;https://www.sahibinden.com/ilan/vasita-otomobil-renault-safak-otomotivden-cam-gibi-rxt-874543414/detay;2001;260000;Füme;59750;TL;2020-10-28;Kahramanmaraş;Elbistan
59;Sahibinden;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-874538543/detay;1999;186000;Kahverengi;52000;TL;2020-10-28;İstanbul;Bağcılar
60;ihtiyaçtan dolayı acil satılıktır;https://www.sahibinden.com/ilan/vasita-otomobil-renault-ihtiyactan-dolayi-acil-satiliktir-874536722/detay;2004;302000;Mavi;56750;TL;2020-10-28;Diyarbakır;Çınar
61;Laguna 1.6 LPG Temiz Araç;https://www.sahibinden.com/ilan/vasita-otomobil-renault-laguna-1.6-lpg-temiz-arac-874522862/detay;2008;208000;Gümüş Gri;76500;TL;2020-10-28;Bursa;Osmangazi
62;1997 LAGUNA 2.0 140HP VOLVO MOTOR FULL+FULL;https://www.sahibinden.com/ilan/vasita-otomobil-renault-1997-laguna-2.0-140hp-volvo-motor-full-plusfull-853960857/detay;1997;280000;Siyah;39900;TL;2020-10-28;Antalya;Alanya
63;2008 MODEL RENAULT LAGUNA 1.6 EXPRESSİON;https://www.sahibinden.com/ilan/vasita-otomobil-renault-2008-model-renault-laguna-1.6-expression-874494839/detay;2008;201000;Gümüş Gri;79500;TL;2020-10-28;Afyonkarahisar;Merkez
64;Laguna 1 temiz araba;https://www.sahibinden.com/ilan/vasita-otomobil-renault-laguna-1-temiz-araba-874488516/detay;2001;220000;Yeşil;38000;TL;2020-10-28;Diyarbakır;Yenişehir
65;YEKSER DEN 2005 LAGUNA 1.9 DİZEL MANUEL EXPRESSİON BOYASIZ ORJ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-yekser-den-2005-laguna-1.9-dizel-manuel-expression-boyasiz-orj-874488605/detay;2005;210000;Füme;77500;TL;2020-10-28;İstanbul;Ataşehir
66;AUTO GALA 1998 RENAULT LAGUNA VİZE KLİMA ABS LPG Lİ FIRSAT ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-renault-auto-gala-1998-renault-laguna-vize-klima-abs-lpg-li-firsat-araci-864424897/detay;1998;390000;Gümüş Gri;35900;TL;2020-10-28;İzmir;Buca
67;DAHA UCUZU YOK;https://www.sahibinden.com/ilan/vasita-otomobil-renault-daha-ucuzu-yok-874425270/detay;2006;182865;Füme;53000;TL;2020-10-28;Gaziantep;Şehitkamil
68;BAKIMLI TEMIZ MASRAFSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-acil-satilik-874418532/detay;1997;312500;Lacivert;32000;TL;2020-10-28;İzmir;Çiğli
69;Memurdan temiz satlık;https://www.sahibinden.com/ilan/vasita-otomobil-renault-memurdan-temiz-satlik-874417253/detay;2004;204000;Şampanya;65000;TL;2020-10-28;Gaziantep;Şahinbey
70;SAHİBİNDEN TERTEMİZ KAÇIRILMAYACAK ARAÇ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-tertemiz-kacirilmayacak-arac-874827402/detay;2004;261000;Gümüş Gri;75000;TL;2020-10-30;İstanbul;Beylikdüzü
71;SAHİBİNDEN TEMİZ KULLANILMIŞ MASRAFSIZ 98 LAGUNA;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-temiz-kullanilmis-masrafsiz-98-laguna-874414053/detay;1998;340000;Gümüş Gri;42500;TL;2020-10-28;İstanbul;Esenyurt
72;Düşük km Laguna Makam aracı;https://www.sahibinden.com/ilan/vasita-otomobil-renault-dusuk-km-laguna-makam-araci-874839346/detay;1997;200609;Beyaz;47000;TL;2020-10-30;Ankara;Etimesgut
73;SAHİBİNDEN HATASIZ LAGUNA 1.;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-hatasiz-laguna-1-853401943/detay;2000;234000;Bej;59000;TL;2020-10-28;Ankara;Çankaya
74;satılık gemi :));https://www.sahibinden.com/ilan/vasita-otomobil-renault-satilik-gemi-874834937/detay;2004;165000;Gri;78000;TL;2020-10-30;Balıkesir;Karesi
75;Hatasız bayandan;https://www.sahibinden.com/ilan/vasita-otomobil-renault-hatasiz-bayandan-874857492/detay;2004;244000;Lacivert;64750;TL;2020-10-29;İstanbul;Esenyurt
76;orjinal 104000 km;https://www.sahibinden.com/ilan/vasita-otomobil-renault-orjinal-104000-km-874408829/detay;2008;104000;Gümüş Gri;83000;TL;2020-10-27;Hatay;Dörtyol
77;efsane laguna 1;https://www.sahibinden.com/ilan/vasita-otomobil-renault-efsane-laguna-1-874835041/detay;2002;357000;Bej;65000;TL;2020-10-29;Kastamonu;Merkez
78;KAZASIZ DEĞİŞENSİZ ORJİNAL LAGUNA MOTOR YÜRÜYEN SORUNSUZ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-kazasiz-degisensiz-orjinal-laguna-motor-yuruyen-sorunsuz-874850461/detay;2002;258000;Gri;53750;TL;2020-10-29;Antalya;Alanya
79;SAHİBİNDEN KUPON.ARAÇ ARSA YAZLIK TAKAS OLUR;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-kupon.arac-arsa-yazlik-takas-olur-865929174/detay;2009;155000;Siyah;162000;TL;2020-10-27;Ankara;Yenimahalle
80;Sahibinden Tertemiz Laguna;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-tertemiz-laguna-874846317/detay;2008;198000;Gümüş Gri;74500;TL;2020-10-29;Ankara;Çankaya
81;Laguna 2005 1.6 benzin lpg;https://www.sahibinden.com/ilan/vasita-otomobil-renault-laguna-2005-1.6-benzin-lpg-874837048/detay;2005;280000;Lacivert;55000;TL;2020-10-29;Mardin;Diğer
82;çok temiz aile aracı;https://www.sahibinden.com/ilan/vasita-otomobil-renault-cok-temiz-aile-araci-839061371/detay;2006;224000;Mavi;73000;TL;2020-10-27;Ankara;Mamak
83;satılık temiz laguna;https://www.sahibinden.com/ilan/vasita-otomobil-renault-satilik-temiz-laguna-872379726/detay;2005;208000;Yeşil;52500;TL;2020-10-27;Antalya;Manavgat
84;temiz laguna;https://www.sahibinden.com/ilan/vasita-otomobil-renault-temiz-laguna-873359442/detay;2006;195000;Siyah;77000;TL;2020-10-27;İstanbul;Tuzla
85;121 Binde Makam Arabası Laguna Dijital Klimalı Uygun Fiyata;https://www.sahibinden.com/ilan/vasita-otomobil-renault-121-binde-makam-arabasi-laguna-dijital-klimali-uygun-fiyata-874393136/detay;1998;122000;Yeşil;41000;TL;2020-10-27;Osmaniye;Merkez
86;SAHİBİNDEN 2009 ORJİNAL PİRİVİLAGE HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-2009-orjinal-pirivilage-hatasiz-865471113/detay;2009;173000;Füme;115000;TL;2020-10-29;İzmir;Karşıyaka
