caption;link;year;km;color;price;price_unit;date;city;district
43;FULL ORJİNAL TRAMERSİZ KAZASIZ BOYASIZ DEĞİŞENSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-full-orjinal-tramersiz-kazasiz-boyasiz-degisensiz-874794631/detay;2005;282000;Füme;145000;TL;2020-10-29;Konya;Selçuklu
44;2011 MODEL S60 DRİVE ELEKTRİKLİ HAFIZALI KOLTUK+XENON+SUNROFF;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2011-model-s60-drive-elektrikli-hafizali-koltuk-plusxenon-plussunroff-762507437/detay;2011;160100;Beyaz;185000;TL;2020-10-29;Muğla;Fethiye
45;YILDIZ AUTO'DAN HATASİZ BOYASİZ VOLVO S60 FULL PAKET;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-yildiz-auto-dan-hatasiz-boyasiz-volvo-s60-full-paket-874775981/detay;2015;178000;Siyah;257000;TL;2020-10-29;Şırnak;Cizre
46;TÜRKİYE DE BUNDAN DAHA GIRTLAĞINA KADAR DOLUSU VE DAHA UCUZU YOK;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-turkiye-de-bundan-daha-girtlagina-kadar-dolusu-ve-daha-ucuzu-yok-874762663/detay;2015;228600;Beyaz;240000;TL;2020-10-29;Mersin;Mezitli
47;SAHİBİNDEN LANSMAN RENGİ HATASIZ BOYASIZ S60;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-lansman-rengi-hatasiz-boyasiz-s60-874743333/detay;2014;94800;Mavi;281500;TL;2020-10-29;Bolu;Merkez
48;İlk Sahibinden Hatasız;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-ilk-sahibinden-hatasiz-874722954/detay;2018;32400;Gri;385000;TL;2020-10-29;Muğla;Fethiye
49;Hatasiz Boyasiz s60 R Desin;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-hatasiz-boyasiz-s60-r-desin-874607581/detay;2015;128000;Beyaz;304000;TL;2020-10-29;İstanbul;Şişli
50;2013 MODEL 168.000KM HATASIZ R-DESİGN BEYAZ İÇİ TABA OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2013-model-168.000km-hatasiz-r-design-beyaz-ici-taba-otomatik-874698083/detay;2013;168000;Beyaz;192000;TL;2020-10-29;Ankara;Keçiören
51;VOLVO S60 2012 YENİ BAKIM KORUMA VE LASTİKLERİ İLE BİRLİKTE;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-volvo-s60-2012-yeni-bakim-koruma-ve-lastikleri-ile-birlikte-874690147/detay;2012;138500;Gri;190000;TL;2020-10-29;İstanbul;Maltepe
52;PARKGARAJDAN DİZEL OTOMATİK MASRAFSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-parkgarajdan-dizel-otomatik-masrafsiz-619610202/detay;2015;105000;Siyah;225000;TL;2020-10-29;İstanbul;Kadıköy
53;SÜER OTO CENTER DAN VOLVO S60 1.6 D OTOMATİK PREMİUM İÇİ TABA;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-suer-oto-center-dan-volvo-s60-1.6-d-otomatik-premium-ici-taba-874688983/detay;2013;179000;Siyah;191000;TL;2020-10-29;İzmir;Torbalı
54;Öğretmenden tertemiz emsalsiz Bu renkte tek !;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-ogretmenden-tertemiz-emsalsiz-bu-renkte-tek-874594699/detay;2012;143000;Siyah;172000;TL;2020-10-29;Diyarbakır;Ergani
55;2017 VOLVO 1.5 T3 ADVANCE '60.000 KM' HATASIZ SUNROOF'LU;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2017-volvo-1.5-t3-advance-60.000-km-hatasiz-sunroof-lu-871607715/detay;2017;60300;Siyah;323000;TL;2020-10-29;İstanbul;Maltepe
56;HATA BOYA TRAMER DEGİSEN YOK FULL SERVİS BAKIMLI...!;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-hata-boya-tramer-degisen-yok-full-servis-bakimli-874668615/detay;2012;203000;Beyaz;210000;TL;2020-10-29;İzmir;Aliağa
57;ORİJİNAL EXTRALI 2015 VOLVO S60 D2 ADVANCE POWERSHİFT;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-orijinal-extrali-2015-volvo-s60-d2-advance-powershift-874623821/detay;2015;160000;Beyaz;339000;TL;2020-10-29;İstanbul;Bahçelievler
58;TARCANLAR'dan Expertizli Volvo S60 Diesel 2012 Model;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-tarcanlar-dan-expertizli-volvo-s60-diesel-2012-model-855082515/detay;2013;121500;Siyah;177500;TL;2020-10-29;Kocaeli;İzmit
59;Sahibinden tertemiz Volvo s60;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-tertemiz-volvo-s60-874619139/detay;2014;191225;Beyaz;305750;TL;2020-10-29;Bursa;Nilüfer
60;SAHİBİNDEN BAKIMLI S60 DiZEL;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-bakimli-s60-dizel-874619830/detay;2014;180000;Beyaz;215000;TL;2020-10-29;İzmir;Konak
61;Hatasız Yarım Lokal Boyalı;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-hatasiz-yarim-lokal-boyali-875030475/detay;2012;193000;Beyaz;178000;TL;2020-10-31;Yozgat;Yerköy
62;İsveç tankı satılık alana hayırlı olsun şimdiden;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-isvec-tanki-satilik-alana-hayirli-olsun-simdiden-875012721/detay;2011;158000;Beyaz;190000;TL;2020-10-30;Mersin;Akdeniz
63;Fırsat Aracı Volvo S60 Motor Yürüyen Şanzıman Kusursuz;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-firsat-araci-volvo-s60-motor-yuruyen-sanziman-kusursuz-874609183/detay;2014;234000;Beyaz;186000;TL;2020-10-28;Elazığ;Merkez
64;Sahibinden temiz,sorunsuz aile arabası;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-temiz%2Csorunsuz-aile-arabasi-874606903/detay;2013;109500;Beyaz;227000;TL;2020-10-28;Samsun;Atakum
65;MODEL YUKSELTECEGIM ICIN SATIYORUM;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-model-yukseltecegim-icin-satiyorum-841503701/detay;2012;182500;Siyah;158000;TL;2020-10-28;İstanbul;Kartal
66;Güvenlik Performans Konfor;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-guvenlik-performans-konfor-865850274/detay;2017;25000;Siyah;345000;TL;2020-10-28;İzmir;Tire
67;2016/VOLVO S60/ADVANGE PAK/HAYALET/SERVİS BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2016-volvo-s60-advange-pak-hayalet-servis-bakimli-874595602/detay;2016;164000;Siyah;299000;TL;2020-10-28;Afyonkarahisar;Merkez
68;Düşük km orjinal arayanlar;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-dusuk-km-orjinal-arayanlar-874593239/detay;2012;53000;Bordo;280000;TL;2020-10-28;İstanbul;Sancaktepe
69;TAMAMINA KREDİ 2014 VOLVO 1.6D POWERSHİFT HAFIZA LED YENİ KASA;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-tamamina-kredi-2014-volvo-1.6d-powershift-hafiza-led-yeni-kasa-874583429/detay;2014;145000;Beyaz;199750;TL;2020-10-28;İstanbul;Bağcılar
70;VOLVO S60 2.0 T OTOMATİK 2003;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-volvo-s60-2.0-t-otomatik-2003-874985452/detay;2003;238000;Siyah;87500;TL;2020-10-30;Mersin;Tarsus
71;!!!!!acil ihtiyaçtan!!!!;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-acil-ihtiyactan-874986789/detay;2004;250000;Gümüş Gri;80000;TL;2020-10-30;Balıkesir;Ayvalık
72;ŞENYOLDAŞ AUTODAN 2014 SEDEF BEYAZ ISITMA ZENON G GÖRÜŞ S 60;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-senyoldas-autodan-2014-sedef-beyaz-isitma-zenon-g-gorus-s-60-874576189/detay;2014;154000;Beyaz;245000;TL;2020-10-28;Diyarbakır;Kayapınar
73;GARAGE'DAN SIFIR GİBİ SADECE 47000KM'DE KUSURSUZ S6O DİZEL;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-garage-dan-sifir-gibi-sadece-47000km-de-kusursuz-s6o-dizel-874571656/detay;2014;47000;Beyaz;293000;TL;2020-10-28;İstanbul;Ümraniye
74;ÖĞRETMENDEN DÜŞÜK KM.TERTEMİZ S60;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-ogretmenden-dusuk-km.tertemiz-s60-874916293/detay;2010;117000;Füme;185000;TL;2020-10-30;Ankara;Sincan
75;2012 MODEL VOLVO S60 ADVANCE 1.6 DİZEL **YAKIT CİMRİSİ**;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2012-model-volvo-s60-advance-1.6-dizel-yakit-cimrisi-866252276/detay;2012;178000;Beyaz;172500;TL;2020-10-28;Bursa;Nilüfer
76;2011 MODEL VOLVO S60 250.000 KM TEMİZ BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2011-model-volvo-s60-250.000-km-temiz-bakimli-874569520/detay;2011;250000;Beyaz;155000;TL;2020-10-28;Giresun;Bulancak
77;acil satılık;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-acil-satilik-874569429/detay;2013;185000;Beyaz;225500;TL;2020-10-28;Aydın;Efeler
78;İLK SAHİBİNDEN YETKİLİ SERVİS BAKIMLI FATURALI;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-ilk-sahibinden-yetkili-servis-bakimli-faturali-874549554/detay;2011;190000;Beyaz;202000;TL;2020-10-28;Ankara;Çankaya
79;Sahibinden hasar kayıtsız değişensiz;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-hasar-kayitsiz-degisensiz-874964976/detay;2012;195000;Siyah;265000;TL;2020-10-30;Bursa;Nilüfer
80;Dığan Grup Autodan 2015 Model Volvo S60 133.000 Km De;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-digan-grup-autodan-2015-model-volvo-s60-133.000-km-de-874548126/detay;2015;133000;Siyah;217750;TL;2020-10-28;İstanbul;Esenyurt
81;CAR'AN MOTORS 2009 VOLVO S 60 2.4 DİZEL OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-car-an-motors-2009-volvo-s-60-2.4-dizel-otomatik-866222259/detay;2009;255000;Gri;135000;TL;2020-10-30;Eskişehir;Odunpazarı
82;sahibinden satılık tank;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-satilik-tank-874529627/detay;2015;250000;Beyaz;240000;TL;2020-10-28;Afyonkarahisar;Sandıklı
83;ARKAS ZEYTİNBURNU 2018 S60 1.5T3 152PS ADVANCE+ELİT 54.000 KM'DE;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-arkas-zeytinburnu-2018-s60-1.5t3-152ps-advance-pluselit-54.000-km-de-874948821/detay;2018;54000;Gümüş Gri;323500;TL;2020-10-30;İstanbul;Zeytinburnu
84;2015 MODEL D4 BÜTÜN BAKIM LAR YETKİLİ SERVİSTE YAPILMIŞ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2015-model-d4-butun-bakim-lar-yetkili-serviste-yapilmis-874530306/detay;2015;117000;Şampanya;289000;TL;2020-10-28;İstanbul;Bağcılar
85;temiz volvo;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-temiz-volvo-874518060/detay;2001;310000;Bordo;97500;TL;2020-10-28;Denizli;Merkezefendi
86;HATASIZ - 2013 VOLVO S60 FULL - YARIM PARÇA LB - POWERSHIFT;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-hatasiz-2013-volvo-s60-full-yarim-parca-lb-powershift-874926349/detay;2013;199000;Siyah;197500;TL;2020-10-30;Mersin;Yenişehir
87;UMUT OTO/2014/VOLVO S60 1.6D D2 PREMİUM/SİYAH İÇİ BEJ/FUL/BOYSZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-umut-oto-2014-volvo-s60-1.6d-d2-premium-siyah-ici-bej-ful-boysz-845625818/detay;2014;147000;Siyah;217500;TL;2020-10-28;Ağrı;Merkez
88;HASAR KAYITSIZ VOLVO S60 PREMİUM;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-hasar-kayitsiz-volvo-s60-premium-836910623/detay;2015;92000;Siyah;267000;TL;2020-10-28;Samsun;Atakum
89;HATASIZ, BOYASIZ, TRAMERSİZ TERTEMİZ SİYAH İNCİ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-hatasiz-boyasiz-tramersiz-tertemiz-siyah-inci-864223282/detay;2018;59000;Siyah;338000;TL;2020-10-28;İstanbul;Şişli
90;TEMİZ KULLANILMIŞ S60 DİZEL OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-temiz-kullanilmis-s60-dizel-otomatik-874924377/detay;2014;93000;Beyaz;265000;TL;2020-10-30;Ankara;Çankaya
91;Öğretmenden temiz s60;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-ogretmenden-temiz-s60-874923367/detay;2014;109000;Siyah;231000;TL;2020-10-30;İstanbul;Gaziosmanpaşa
92;SAHİBİNDEN 1.6 D2 ADVANCE POWERSHIFT;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-1.6-d2-advance-powershift-866909329/detay;2014;98000;Siyah;258000;TL;2020-10-30;Mersin;Yenişehir
