caption;link;year;km;color;price;price_unit;date;city;district
65;-- Hasarsız -- Sahibinden Temiz Opel Corsa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hasarsiz-sahibinden-temiz-opel-corsa-875099543/detay;2010;140000;Siyah;115000;TL;2020-10-31;Ankara;Çankaya
66;SUNROOF HARİÇ FULL PAKET 6 İLERİ COSMO;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sunroof-haric-full-paket-6-ileri-cosmo-875105811/detay;2007;202000;Mavi;84500;TL;2020-10-31;İstanbul;Bakırköy
67;KONYA dan 2004 corsa 190 favori ye duyrulur...;https://www.sahibinden.com/ilan/vasita-otomobil-opel-konya-dan-2004-corsa-190-favori-ye-duyrulur-867085911/detay;2004;161000;Kırmızı;45750;TL;2020-10-31;Konya;Selçuklu
68;sahibinden hasar kayitsiz opel;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sahibinden-hasar-kayitsiz-opel-874857296/detay;1997;209000;Beyaz;42000;TL;2020-10-31;Kırklareli;Lüleburgaz
69;2020 corsa elegance cam tavan çift renk fırsat fiyata;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2020-corsa-elegance-cam-tavan-cift-renk-firsat-fiyata-875110259/detay;2020;0;Turuncu;226000;TL;2020-10-31;İstanbul;Maltepe
70;OTOZEL'den 2011 OPEL CORSA 1.4 TWİNPORT TAM OTOMATİK 120 BİN KM';https://www.sahibinden.com/ilan/vasita-otomobil-opel-otozel-den-2011-opel-corsa-1.4-twinport-tam-otomatik-120-bin-km-875108711/detay;2011;120650;Siyah;112500;TL;2020-10-31;İstanbul;Kadıköy
71;Arda Ticaret'ten 2014 Opel Corsa 1.2 Essentia 85 hp;https://www.sahibinden.com/ilan/vasita-otomobil-opel-arda-ticaret-ten-2014-opel-corsa-1.2-essentia-85-hp-875108410/detay;2014;72361;Kahverengi;105500;TL;2020-10-31;Bursa;Nilüfer
72;2005 MODEL 1.3 CDTI 208000 DE YENI VIZELI;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2005-model-1.3-cdti-208000-de-yeni-vizeli-875105442/detay;2005;208000;Gümüş Gri;58750;TL;2020-10-31;Konya;Ereğli
73;2005 OPEL CORSA 1.3 CDTİ ENJOY EASYTRONİC OTOMATİK VİTES EMSALSZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2005-opel-corsa-1.3-cdti-enjoy-easytronic-otomatik-vites-emsalsz-875104084/detay;2005;163000;Beyaz;74750;TL;2020-10-31;Muğla;Ortaca
74;2000 Corsa 1.4 GLS KLİMALİ EMSALİ YOK HİÇ LPG TAKILMADI BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2000-corsa-1.4-gls-klimali-emsali-yok-hic-lpg-takilmadi-boyasiz-875103867/detay;2000;210000;Beyaz;47500;TL;2020-10-31;Adana;Seyhan
75;TERTEMİZ CORSA EURO5 AİLE ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-opel-tertemiz-corsa-euro5-aile-araci-867910027/detay;2014;169000;Beyaz;97500;TL;2020-10-31;İstanbul;Bahçelievler
76;BZMMOTORS CORSA 1.4İ ENJOY 90 HP OTOMATİK 2017 MDL 74.360KM;https://www.sahibinden.com/ilan/vasita-otomobil-opel-bzmmotors-corsa-1.4i-enjoy-90-hp-otomatik-2017-mdl-74.360km-875105780/detay;2017;74360;Füme;150000;TL;2020-10-31;İstanbul;Sarıyer
77;2015 Model Sahibinden Opel Corsa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2015-model-sahibinden-opel-corsa-875101827/detay;2015;120000;Sarı;110000;TL;2020-10-31;Sakarya;Adapazarı
78;ANKARA 2.EL DEN OPEL CORSA 1.2 TWİNPORT-DÜŞÜK KM-OTOMATİK VİTES;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ankara-2.el-den-opel-corsa-1.2-twinport-dusuk-km-otomatik-vites-867286354/detay;2006;193000;Gümüş Gri;59950;TL;2020-10-31;Ankara;Akyurt
79;Polis Memurundan Kazasız Corsa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-polis-memurundan-kazasiz-corsa-875025936/detay;2007;92000;Gri;99000;TL;2020-10-31;Erzincan;Merkez
80;HATASİZ pırıl piril;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hatasiz-piril-piril-875087391/detay;2012;255000;Siyah;89000;TL;2020-10-31;Antalya;Muratpaşa
81;AYD MOTORSDAN 2008 OPEL CORSA 1.3 CDTI SUNROOFLU DİZEL OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ayd-motorsdan-2008-opel-corsa-1.3-cdti-sunrooflu-dizel-otomatik-875101288/detay;2008;161000;Siyah;98750;TL;2020-10-31;İstanbul;Bağcılar
82;sahibinden Corsa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sahibinden-corsa-875097990/detay;2007;185000;Gri;70000;TL;2020-10-31;İstanbul;Bayrampaşa
83;Öğretmenden Satılık Temiz araba;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ogretmenden-satilik-temiz-araba-875098734/detay;2012;119000;Siyah;105000;TL;2020-10-31;Kahramanmaraş;Onikişubat
84;*HATASIZ DEĞİŞENSİZ*;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hatasiz-degisensiz-875100605/detay;2005;219000;Gri;74500;TL;2020-10-31;Niğde;Bor
85;ORJİNAL 78 BİN KM DE MÜKEMMELTEMİZLİKTE OTOMATİK CORSA...;https://www.sahibinden.com/ilan/vasita-otomobil-opel-orjinal-78-bin-km-de-mukemmeltemizlikte-otomatik-corsa-875100285/detay;2009;78000;Turkuaz;96750;TL;2020-10-31;Afyonkarahisar;Merkez
86;OPEL CORSA 1.2 TWİNPORT OTOMATİK 50.300 KM DE SERVİS BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-opel-opel-corsa-1.2-twinport-otomatik-50.300-km-de-servis-bakimli-867267445/detay;2013;50300;Kırmızı;132000;TL;2020-10-31;Bolu;Merkez
87;YETKİLİ BAYİ'DEN 48 BİN KM'DE 1.4 OTOMATİK CORSA ESSENTİA LPG'Lİ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-yetkili-bayi-den-48-bin-km-de-1.4-otomatik-corsa-essentia-lpg-li-875098202/detay;2015;48900;Gri;134900;TL;2020-10-31;Uşak;Merkez
88;" Peak Motors " 2012 OPEL CORSA 1.6 OPC EKSTRALI;https://www.sahibinden.com/ilan/vasita-otomobil-opel-peak-motors-2012-opel-corsa-1.6-opc-ekstrali-867265472/detay;2012;83000;Kırmızı;245000;TL;2020-10-31;İstanbul;Büyükçekmece
89;HATASIZ TEMİZLİKTE DİZEL EKSTRALI SIFIR MUAYENE;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hatasiz-temizlikte-dizel-ekstrali-sifir-muayene-875097057/detay;2007;233000;Siyah;72000;TL;2020-10-31;Giresun;Bulancak
90;corsa 1.3 cdti Essentia;https://www.sahibinden.com/ilan/vasita-otomobil-opel-corsa-1.3-cdti-essentia-867288120/detay;2006;269000;Beyaz;56500;TL;2020-10-31;Tekirdağ;Çorlu
91;Opel Corsa Swing 1999 model;https://www.sahibinden.com/ilan/vasita-otomobil-opel-opel-corsa-swing-1999-model-875098353/detay;1999;158800;Sarı;47000;TL;2020-10-31;Konya;Karatay
92;2004 model Opel Corsa enjoy dizel otomatik vites orjinal;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2004-model-opel-corsa-enjoy-dizel-otomatik-vites-orjinal-875096016/detay;2004;244000;Lacivert;71750;TL;2020-10-31;İzmir;Buca
93;BEDİRLER AUTO'DAN 2017 ÇIKIŞLI EKSTRALI OPEL CORSA;https://www.sahibinden.com/ilan/vasita-otomobil-opel-bedirler-auto-dan-2017-cikisli-ekstrali-opel-corsa-875096038/detay;2016;54000;Kırmızı;155750;TL;2020-10-31;İstanbul;Esenyurt
94;OPEL CORSA 2017 MODEL PAZARLIK PAYI VARDIR;https://www.sahibinden.com/ilan/vasita-otomobil-opel-opel-corsa-2017-model-pazarlik-payi-vardir-874781875/detay;2017;28800;Beyaz;140000;TL;2020-10-31;Hatay;Antakya
95;2019 MODEL DARBESİZ BOYASIZ ÇİZİKSİZ KUSURSUZ SEDEF BEYAZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2019-model-darbesiz-boyasiz-ciziksiz-kusursuz-sedef-beyaz-867246515/detay;2019;26757;Beyaz;168900;TL;2020-10-31;Diyarbakır;Yenişehir
96;GALERİ KARADUMAN - 1.3 DİZEL ESSENTİA 130.000 KM;https://www.sahibinden.com/ilan/vasita-otomobil-opel-galeri-karaduman-1.3-dizel-essentia-130.000-km-875094386/detay;2014;130000;Beyaz;98500;TL;2020-10-31;Sakarya;Hendek
97;1997 CORSA 1.4 GLS KLIMA-AİRBAG-214BİN KMDE;https://www.sahibinden.com/ilan/vasita-otomobil-opel-1997-corsa-1.4-gls-klima-airbag-214bin-kmde-875094641/detay;1997;214000;Bordo;48000;TL;2020-10-31;Kütahya;Merkez
98;ÖGRETMENDEN ACİL SATILIK CORSA;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ogretmenden-acil-satilik-corsa-874999409/detay;2020;10000;Gri;210000;TL;2020-10-31;Aydın;Efeler
99;FATİH____FC DEN 2005 OPEL CORSA 1.3 CDTİ ENJOY OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-fatih____fc-den-2005-opel-corsa-1.3-cdti-enjoy-otomatik-875091820/detay;2005;228000;Beyaz;74500;TL;2020-10-31;Konya;Karatay
100;DEĞİŞENSİZ SERVİS BAKIMLI CORSA;https://www.sahibinden.com/ilan/vasita-otomobil-opel-degisensiz-servis-bakimli-corsa-843816031/detay;2013;154000;Beyaz;94750;TL;2020-10-31;İzmir;Buca
